Id,User,Text
0,DrMcKinn,"RT @donwinslow: One of @FoxNews biggest sponsors is @SandalsResorts

Sandals Resorts literally funds propaganda about #COVID, fake election…"
1,SophiaLamar1,@NotAcquiescing #COVID-19Hunger
2,MontezumaAlicia,RT @ivssoficial: #SabiasQué | Los Jóvenes también corren riesgo de enfermarse gravemente con el #Covid-19 #QuedateEnCasa. #ANEsPoderPopular…
3,__democratic,RT @ITarunRathi: मेरे प्रिय मित्र एवं मानवता के सच्चे पैरोकार श्री @SonuSood जी को #COVID के दौरान जरूरतमंदों की सेवा करने हेतु @EasternEye…
4,nhalpern,Deflated Balloon Syndrome (DBS) is real thing. How to counter the lack of energy and motivation after being in lock… https://t.co/UDZ2NM0IuT
5,marcopalmundo,RT @asockallpa: El impacto de la #COVID-19 en los sistemas sanitarios de los Estados pone en riesgo los avances logrados en los servicios d…
6,matthaneymd,"Or, they report it as “For participants with &amp; without evidence of SARS-CoV-2 infection before and during vaccinati… https://t.co/WfhNRTuoV9"
7,naosouloira,RT @julianodip: EXCLUSIVO! Enquanto gravávamos no setor de terapia intensiva da Santa Casa de SP a unidade chegou a 100% de lotação dos lei…
8,MESSINARichard,"Les réanimations toujours en diminution, mais toujours plus de 5000 nouveaux cas détectés par jour. Il n'y a pas de… https://t.co/OF17m641Xz"
9,ant27248938,"RT @CRRJA5: Mass testing  underway in Chengdu as fresh outbreak of #COVID Five locations in Chengdu’s Ludu district have been sealed off, i…"
10,c_e_jensen,"RT @nadabakos: I lost my Dad to #COVID this week. Depraved indifference is the right phrase for this year. 
There is no federal leadership.…"
11,WarriorWoman23,"RT @VivianLeal123: This is my city. As other hospitals overflow, I'm grateful for the foresight of @renownhealth even though they were firs…"
12,tabbyday,@CBSNews @NikkiBattiste Healthy 28 year old Dr just dies during the Oxford mRNA #COVID trial? There is NO placebo i… https://t.co/oIuGiIrd7H
13,RichHackettRPh,"RT @AlexBerenson: So far this fall they are below 70,000, roughly the same as the 2018 flu season. More evidence (though not proof) both th…"
14,SSN_TN,"RT @CJ_Heinrich: This @VUMCchildpolicy poll finds that fewer than 6 in 10 Tennessee parents report wearing masks all the time, nearly half…"
15,pirata_21,Le autorità russe:“Non bevete alcol dopo aver fatto il vaccino anti-#Covid o non sarete immuni”. Qualcosa mi dice che sia troppo tardi.
16,RaffaRa06692253,"RT @giorgio_gori: Quindi:
- il #Covid rivela gravi limiti della nostra Sanità
- per rafforzarla il ministro Speranza redige un piano da 65…"
17,Tarot1,RT @mishacollins: More Americans died of #COVID today than died in 9/11. Five of the 10 deadliest days in US history happened THIS WEEK.…
18,H1B92435674,"Cow Dung Cure for #COVID, says highly uneducated tea seller donkey @narendramodi of #INDIA!… https://t.co/xJUUE9j1Ws"
19,yknot05,"@IRPlawyer WOW!
Thought from the beginning you were a class act, Kyla.
Now, past performance proves it.
Hang in the… https://t.co/WRUXNDppIv"
20,WeAreTouro,"NYS has been on the frontlines of the pandemic, and during this #COVID crisis students and faculty here at TouroCOM… https://t.co/qplB58iWbp"
21,3TDiggs3,"RT @AlexBerenson: 1/ Interesting data from Colorado yesterday.

Colorado is the only state (as far as I know) to report the number of death…"
22,msclairol02,"RT @AlexBerenson: So far this fall they are below 70,000, roughly the same as the 2018 flu season. More evidence (though not proof) both th…"
23,Pepe1807,Mexican student 🇲🇽is undertaking a residency at Harvard University and working with intestinal cells to see how the… https://t.co/cI7gllqewF
24,FUNDACIONLIBRA,RT @Aller_MD: Study identifies new potential treatments for #COVID-19 https://t.co/UBknxrv6r2 https://t.co/HbELaZbkE6
25,filippo_francia,RT @gadlernertweet: Stasera accendiamo la prima candela di #Hannukah. Che l'antica festa ebraica dei lumi ci aiuti a intravedere uno spirag…
26,dvcaradonna,"#PoesiaELetteraturaGiapponese a #SalaLettura al tempo di #COVID 
""Non ci sarà mai notte così lunga da impedire al n… https://t.co/v5LXDlYAA8"
27,Robertvegas46,"RT @NOTDumPhuk: Listen to #KerryMullis, inventor of the Polymerase Chain Reaction (#PCR) test that’s intentionally being misused to perpetu…"
28,EbayPremier,RT @bigtickHK: Apollo's Arrow: The Profound and Enduring Impact of Coronavirus on the Way We Live by Nicholas A. Christakis https://t.co/hv…
29,ChevalierMoniqu,"RT @ChLECHEVALIER: #COVID

Honnête #Macronie..."
30,AmandaFirthRM,RT @a4_little: Calling all #midwives- please complete this short survey to tell us about your working life and coping during #COVID.…
31,eynelys,"RT @eynelys: #EynelysShow #COVID 

Corrupt US Government Helps Corporations Exploit Pandemic https://t.co/xY5rW205p4 via @YouTube https://t…"
32,sensaycommon2,"RT @666Beard666: #KayBurley and her mates have agreed to be off air for several months after breaching #COVID regulations. 

Bet they still…"
33,mario_huerta84,"RT @SergioG_Valdes: Repaso de las nuevas medidas #covid 🦠 en Salamanca:

-Desde el lunes, si no hay cambios, pasamos a nivel 3 de alerta (m…"
34,JacopoFortino,"RT @paoloigna1: Alle 15 Strumenti ed analisi per combattere il #Covid  ricercatori, virologi ed ingegneri parleranno dell’importanza della…"
35,jwindal,"RT @EGrasland: #Covid : Le 15 juin, l'Etat a péniblement acquis 4 milliards de masques pour 2,8 milliards d'euros, qui ont parfois coûté tr…"
36,JacopoFortino,"RT @MakerFaireRome: Gli appuntamenti di #DDI2020 
⏰ 15.00- 16.00 ""Strumenti e analisi per combattere il #covid"": durante la #pandemia, i #b…"
37,Olivierfrexit,"RT @momotchiii: 8/12: Audience du Sénat USA 2e partie sur les traitements précoces (#hydroxychloroquine, #ivermectine etc) qui attaquent le…"
38,seek1633,"I-mask #covid protocal prophylaxis and early tx. With #Ivermectin vit d, c , zinc... https://t.co/V5vCqcXI57"
39,PradesTeresa,"RT @psicolegsanc: El problema de manca de psicòlegs a la sanitat pública, que ara s'ha agreujat amb la #COVID no és nou. La deixadesa de l'…"
40,ps_fournier,"RT @IThisSaintJean: #Covid: le rapport du Sénat qui accuse ⚡️🧨💣💣🧨
« L’absence de préparation du pays […] ne découle en rien d’une décision…"
41,Unlocked_UK_,"RT @T4Recovery: .@Unlocked_UK_ 

'Has #Covid killed Nightlife?  
TONIGHT 8pm Television https://t.co/tfPRTM4OB0
We are joined by 
@T4Recove…"
42,AmnaShath,"RT @abdulla_shahid: I had the pleasure of interacting with several Geneva based #SIDS today. On this Human Rights Day, I congratulated the…"
43,MosesDidItBest,"RT @nadabakos: I lost my Dad to #COVID this week. Depraved indifference is the right phrase for this year. 
There is no federal leadership."
44,bitcoinconnect,Xbox Series X Controller Is Hurting Some Adult Gamers' Hands SEE MORE HERE ==&gt; https://t.co/uTKq3jCQuw… https://t.co/fO3O2zDdOd
45,sarah_sarval,"RT @DavidLat: 1/ It has been exactly 9 months since I started having #COVID19 symptoms, which eventually worsened to the point where I woun…"
46,AprilP44,"#COVID19 
#COVID 
#secondwave https://t.co/vdc7RPvaYd"
47,MAGA_GUY2020,"RT @orlandumike: Le grand reset : Grand pour qui ?

@AndrePitre_LUX @KenPereira11 @GeneviveCaron18 pour info

https://t.co/7WB2PPqdQO

#cen…"
48,CAFarmersDtr,"RT @LungCancerFaces: I am heartsick for her, and for us. Please stay in if you can. Wear a mask. Social distance. Practice good hygiene. St…"
49,Eoconnelldc,"After (as) we respond to the #Covid pandemic, we must face the #globalhealth crisis of #ClimateChange @jenimiller… https://t.co/uzMZh4wmHy"
50,HobokenHeal,"""COVID Testing Available for Employees of Hoboken Businesses"" via @TAPintoLocal  

➡️ https://t.co/uamv8YEbkC… https://t.co/veesjaA7qt"
51,Eduardo20243591,RT @tinlozano1: #mañanera | El presidente @lopezobrador_ expresó que las vacunas contra el #COVID-19 que requieren un congelamiento especia…
